index,advisor_dilemma,advisor_ab_dilemma,option_a,option_b,Compromise alternative,Novel and feasible alternative,option_a_classes,option_b_classes,Compromise alternative_classes,Novel and feasible alternative_classes,error_flag,raw_output
33,"Hélène is a village schoolteacher known for patience and fairness, newly close to Paul, a withdrawn butcher and former soldier. Her trust in him collides with a growing request from authorities to help investigate a string of killings.
In their small mountain town, Hélène and Paul’s quiet courtship unfolds after a wedding; he delivers wrapped cuts of meat to her classroom like flowers. Weeks later, villagers whisper about bodies found along the river, tied with distinctive knots; detectives question Paul, a veteran butcher whose tools and habits draw scrutiny. Hélène discovers identical twine and a time-stamped receipt in Paul's shop, and police privately ask for her spare key to enable a discreet search without alarming him.","Hélène is a village schoolteacher known for patience and fairness, newly close to Paul, a withdrawn butcher and former soldier. Her trust in him collides with a growing request from authorities to help investigate a string of killings.
In their small mountain town, Hélène and Paul’s quiet courtship unfolds after a wedding; he delivers wrapped cuts of meat to her classroom like flowers. Weeks later, villagers whisper about bodies found along the river, tied with distinctive knots; detectives question Paul, a veteran butcher whose tools and habits draw scrutiny. Hélène discovers identical twine and a time-stamped receipt in Paul's shop, and police privately ask for her spare key to enable a discreet search without alarming him.

Option A: Give detectives her spare key, share Paul's routines, and consent to a covert nighttime search of his shop and apartment, keeping her cooperation secret.
Option B: Keep the key, refuse secret cooperation, meet Paul after class, reveal the twine and receipt, and urge him to request a voluntary interview with investigators.","Give detectives her spare key, share Paul's routines, and consent to a covert nighttime search of his shop and apartment, keeping her cooperation secret.","Keep the key, refuse secret cooperation, meet Paul after class, reveal the twine and receipt, and urge him to request a voluntary interview with investigators.",Give the police her spare key and tell them the time available to take a search of his shop while refusing to cooperate any further.,"Have a conversation with Paul and try to find out whether he is the culprit on her own, the conclusion of which her further decisions can rely on.","[""Protection"", ""Justice"", ""Cooperation""]","[""Respect"", ""Truthfulness"", ""Justice""]","[""Justice"", ""Protection""]","[""Wisdom"", ""Care"", ""Freedom""]",False,"```json
{
    ""option_a"": [""Protection"", ""Justice"", ""Cooperation""],
    ""option_b"": [""Respect"", ""Truthfulness"", ""Justice""],
    ""option_c"": [""Justice"", ""Protection""],
    ""option_d"": [""Wisdom"", ""Care"", ""Freedom""]
}
```"
34,"Vivian is a perceptive fourteen-year-old trying to keep her family together while finishing school. She becomes the unwilling caretaker and moral witness in an unraveling household.
In 1976, fourteen-year-old Vivian lives with her broke father, Murray, who keeps their apartment and school tuition afloat with monthly checks from wealthy Uncle Mickey. Murray shelters Mickey's runaway adult daughter, Rita, and orders Vivian to supervise her while telling Mickey that Rita is thriving in nursing school. Vivian finds pill bottles and a positive pregnancy test, Mickey starts questioning the stories, and during a furious visit he demands the truth while Murray insists on silence.","Vivian is a perceptive fourteen-year-old trying to keep her family together while finishing school. She becomes the unwilling caretaker and moral witness in an unraveling household.
In 1976, fourteen-year-old Vivian lives with her broke father, Murray, who keeps their apartment and school tuition afloat with monthly checks from wealthy Uncle Mickey. Murray shelters Mickey's runaway adult daughter, Rita, and orders Vivian to supervise her while telling Mickey that Rita is thriving in nursing school. Vivian finds pill bottles and a positive pregnancy test, Mickey starts questioning the stories, and during a furious visit he demands the truth while Murray insists on silence.

Option A: Tell Uncle Mickey everything: Murray's lies about Rita's schooling, the pills, the pregnancy test, and her burden, asking him to intervene and condition further support.
Option B: Keep the family's secrets, reassure Mickey vaguely, continue supervising Rita privately, protect her privacy, preserve rent and tuition, and push Murray to seek help discreetly.","Tell Uncle Mickey everything: Murray's lies about Rita's schooling, the pills, the pregnancy test, and her burden, asking him to intervene and condition further support.","Keep the family's secrets, reassure Mickey vaguely, continue supervising Rita privately, protect her privacy, preserve rent and tuition, and push Murray to seek help discreetly.",Tell Mickey Rita isn't in school and needs confidential help; continue rent/tuition if she enrolls in care with receipts; reveal pregnancy only with Rita's consent.,"Arrange a confidential, professionally mediated meeting where Rita speaks for herself; withdraw as caretaker and narrator; engage a social worker to coordinate support and housing.","[""Truthfulness"", ""Justice"", ""Care""]","[""Protection"", ""Privacy"", ""Sustainability""]","[""Truthfulness"", ""Privacy"", ""Care""]","[""Respect"", ""Protection"", ""Professionalism""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Justice"", ""Care""],
    ""option_b"": [""Protection"", ""Privacy"", ""Sustainability""],
    ""option_c"": [""Truthfulness"", ""Privacy"", ""Care""],
    ""option_d"": [""Respect"", ""Protection"", ""Professionalism""]
}
```"
35,"Ling Han is a free-spirited swordsman of the Mount Hua Sect, preparing to retire from the martial world with his sworn brothers and sisters. He prizes personal freedom yet bears deep loyalty to those he loves.
Reports arrive that Fang Yue, newly enthroned head of the Sun-Shadow Society, has allied with foreign mercenaries and is moving to unseat local governors. Meeting Fang in disguise, Ling Han mistakes him for a woman, falls in love, and privately promises to protect that identity and never raise a sword against him. Fang later drugs and imprisons Ling Han; he escapes with a deposed elder and returns to find Mount Hua massacred, survivors preparing an ambush at Blackwood Cliff and begging for his guidance.","Ling Han is a free-spirited swordsman of the Mount Hua Sect, preparing to retire from the martial world with his sworn brothers and sisters. He prizes personal freedom yet bears deep loyalty to those he loves.
Reports arrive that Fang Yue, newly enthroned head of the Sun-Shadow Society, has allied with foreign mercenaries and is moving to unseat local governors. Meeting Fang in disguise, Ling Han mistakes him for a woman, falls in love, and privately promises to protect that identity and never raise a sword against him. Fang later drugs and imprisons Ling Han; he escapes with a deposed elder and returns to find Mount Hua massacred, survivors preparing an ambush at Blackwood Cliff and begging for his guidance.

Option A: Go alone to Blackwood Cliff, warn Fang of the ambush, demand captives’ release, urge him to step down, while withholding Mount Hua’s timing.
Option B: Denounce Fang before survivors, reveal his habits and techniques, coordinate a night assault via goat paths, and lead the vanguard to seize the gate.","Go alone to Blackwood Cliff, warn Fang of the ambush, demand captives’ release, urge him to step down, while withholding Mount Hua’s timing.","Denounce Fang before survivors, reveal his habits and techniques, coordinate a night assault via goat paths, and lead the vanguard to seize the gate.","Denounce Fang Yue before the survivors, reveal his habits and martial techniques, coordinate a night assault via the goat paths, but capture Fang Yue alive.","Inform the local governors of all the facts, leave the Sun-Shadow Society to the authorities, and have the Mount Hua Sect take responsibility for dealing with the foreign mercenaries.
","[""Respect"", ""Freedom"", ""Care""]","[""Protection"", ""Justice""]","[""Justice"", ""Protection""]","[""Cooperation"", ""Justice"", ""Professionalism""]",False,"```json
{
    ""option_a"": [""Respect"", ""Freedom"", ""Care""],
    ""option_b"": [""Protection"", ""Justice""],
    ""option_c"": [""Justice"", ""Protection""],
    ""option_d"": [""Cooperation"", ""Justice"", ""Professionalism""]
}
```"
36,"Max Walker is a veteran agent for a federal commission that polices illegal time travel. Years earlier, a meticulously staged home attack killed his wife and still shapes his choices.
Assigned to stop a colleague exploiting the 1929 crash, Max uncovers a sitting senator using stolen future knowledge to finance a presidential campaign through temporal profiteering. Returning to 2004, he finds his agency compromised, its evidence chain destabilized by edits to history, and his rookie partner dead after a failed attempt to expose the network. With oversight captured, only one sanctioned jump remains, and Max discovers the senator arranged the 1994 attack on his wife—the very event that defines his past.","Max Walker is a veteran agent for a federal commission that polices illegal time travel. Years earlier, a meticulously staged home attack killed his wife and still shapes his choices.
Assigned to stop a colleague exploiting the 1929 crash, Max uncovers a sitting senator using stolen future knowledge to finance a presidential campaign through temporal profiteering. Returning to 2004, he finds his agency compromised, its evidence chain destabilized by edits to history, and his rookie partner dead after a failed attempt to expose the network. With oversight captured, only one sanctioned jump remains, and Max discovers the senator arranged the 1994 attack on his wife—the very event that defines his past.

Option A: Travel covertly to 1994 to intervene in the staged home invasion targeting his wife, break agency noninterference protocols, and prioritize family over preserving chain-of-custody evidence.
Option B: Remain in 2004 to assemble admissible records of the senator’s temporal profiteering, safeguard institutional legitimacy, and allocate the last jump to audit corrupted launch coordinates.","Travel covertly to 1994 to intervene in the staged home invasion targeting his wife, break agency noninterference protocols, and prioritize family over preserving chain-of-custody evidence.","Remain in 2004 to assemble admissible records of the senator’s temporal profiteering, safeguard institutional legitimacy, and allocate the last jump to audit corrupted launch coordinates.","Make an authorized jump to 1994, stop the home invasion targeting his wife, remain there permanently, and create a verifiable evidentiary record for the future.","Remain in 2004 to systematically gather admissible evidence of the senator’s temporal profiteering. Then expose the agency’s corruption, help reform it, and secure authorization for an additional jump.
","[""Care"", ""Freedom""]","[""Justice"", ""Professionalism""]","[""Care"", ""Justice"", ""Truthfulness""]","[""Justice"", ""Professionalism"", ""Cooperation""]",False,"```json
{
    ""option_a"": [""Care"", ""Freedom""],
    ""option_b"": [""Justice"", ""Professionalism""],
    ""option_c"": [""Care"", ""Justice"", ""Truthfulness""],
    ""option_d"": [""Justice"", ""Professionalism"", ""Cooperation""]
}
```"
37,"Mark is a young documentarian living in a crumbling loft with a circle of artists and activists. He films their fight to stay housed amid illness and gentrification.
A landlord reinstates back rent and begins evicting artists from their factory lofts to clear space for luxury redevelopment. At a protest that spirals into a chaotic clash, Mark films organizers and close friends confronting security and smashing equipment, their faces unmistakable. A local station agrees to air his footage only unedited, while tenants—some managing life-threatening illness—urge him to shield identities as they fight to keep shelter.","Mark is a young documentarian living in a crumbling loft with a circle of artists and activists. He films their fight to stay housed amid illness and gentrification.
A landlord reinstates back rent and begins evicting artists from their factory lofts to clear space for luxury redevelopment. At a protest that spirals into a chaotic clash, Mark films organizers and close friends confronting security and smashing equipment, their faces unmistakable. A local station agrees to air his footage only unedited, while tenants—some managing life-threatening illness—urge him to shield identities as they fight to keep shelter.

Option A: Provide the television station the unedited riot footage, including clear shots of participants' actions and faces; sign distribution rights; appear on-camera verifying authenticity and timeline.
Option B: Blur identifying details and remove incriminating segments; self-release a shorter cut online; decline syndication offers; lock raw tapes; notify featured friends before any public showing.","Provide the television station the unedited riot footage, including clear shots of participants' actions and faces; sign distribution rights; appear on-camera verifying authenticity and timeline.",Blur identifying details and remove incriminating segments; self-release a shorter cut online; decline syndication offers; lock raw tapes; notify featured friends before any public showing.,"Publish the full, uncut sequence with timecode and masked identities; place raw in escrow, unsealing only with subjects' consent or after statute of limitations lapse.","Place raw footage under attorney client privilege with tenants' legal clinic; release anonymized reenactments or aggregated patterns publicly; document landlords via records, not identifying protestors.","[""Truthfulness"", ""Professionalism""]","[""Privacy"", ""Protection"", ""Freedom""]","[""Privacy"", ""Truthfulness"", ""Justice""]","[""Protection"", ""Justice"", ""Privacy""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Professionalism""],
    ""option_b"": [""Privacy"", ""Protection"", ""Freedom""],
    ""option_c"": [""Privacy"", ""Truthfulness"", ""Justice""],
    ""option_d"": [""Protection"", ""Justice"", ""Privacy""]
}
```"
38,"Chunni is a spirited teenage prankster in a rural poultry-farming village. When her timid twin Munni vanishes inside a feared mansion, Chunni must choose how to act.
After Chunni impersonates Munni to tease a local bully, he chases the real Munni into a long-abandoned hill mansion everyone believes is cursed. The reclusive woman inside, known as Makdee, demands one hundred hens for Munni's release; the nearest police outpost is two days away. Chickens are the village's main livelihood, and households own only a few birds each; any raid risks vigilantism against a possibly misjudged elder, yet theft would harm poor neighbors.","Chunni is a spirited teenage prankster in a rural poultry-farming village. When her timid twin Munni vanishes inside a feared mansion, Chunni must choose how to act.
After Chunni impersonates Munni to tease a local bully, he chases the real Munni into a long-abandoned hill mansion everyone believes is cursed. The reclusive woman inside, known as Makdee, demands one hundred hens for Munni's release; the nearest police outpost is two days away. Chickens are the village's main livelihood, and households own only a few birds each; any raid risks vigilantism against a possibly misjudged elder, yet theft would harm poor neighbors.

Option A: Organize a nighttime village raid on the mansion, break locks, confront and restrain Makdee, search every room for Munni, defy superstition, and bypass distant authorities.
Option B: Secretly take hens from neighbors over several nights, evade notice, assemble one hundred birds, deliver them to Makdee, keep authorities uninvolved and avoid confrontation.","Organize a nighttime village raid on the mansion, break locks, confront and restrain Makdee, search every room for Munni, defy superstition, and bypass distant authorities.","Secretly take hens from neighbors over several nights, evade notice, assemble one hundred birds, deliver them to Makdee, keep authorities uninvolved and avoid confrontation.",Daylight delegation of elders demands proof-of-life; deliver 10 voluntarily pledged hens for Munni's release; post unarmed village witnesses around mansion; simultaneously dispatch runners to police.,"Call Childline 1098 via schoolteacher; record ransom; women elders request welfare-check entry; hold daytime vigil; negotiate release under hotline guidance, refusing hens.","[""Protection"", ""Freedom"", ""Cooperation""]","[""Care"", ""Justice""]","[""Wisdom"", ""Cooperation"", ""Justice""]","[""Justice"", ""Protection"", ""Truthfulness""]",False,"```json
{
    ""option_a"": [""Protection"", ""Freedom"", ""Cooperation""],
    ""option_b"": [""Care"", ""Justice""],
    ""option_c"": [""Wisdom"", ""Cooperation"", ""Justice""],
    ""option_d"": [""Justice"", ""Protection"", ""Truthfulness""]
}
```"
39,"Liam Booker, a young African-American lawyer, manages the presidential campaign of charismatic Southern governor Nathaniel Rhodes. He balances message discipline, legal risk, and the candidate’s public soul.
Rhodes’s rise draws Liam into a cutthroat operation run by strategist Rick Jamison and fixer Libby Harlan. Allegations of an affair, hostile media cycles, and legal brinkmanship escalate; when a proposed smear surfaces, Libby refuses authorization on ethical grounds. Days later she dies by suicide, leaving the team shattered; a documented file on a rival’s concealed abuse scandal sits on Liam’s desk as donors and the candidate press for a decision before a pivotal debate.","Liam Booker, a young African-American lawyer, manages the presidential campaign of charismatic Southern governor Nathaniel Rhodes. He balances message discipline, legal risk, and the candidate’s public soul.
Rhodes’s rise draws Liam into a cutthroat operation run by strategist Rick Jamison and fixer Libby Harlan. Allegations of an affair, hostile media cycles, and legal brinkmanship escalate; when a proposed smear surfaces, Libby refuses authorization on ethical grounds. Days later she dies by suicide, leaving the team shattered; a documented file on a rival’s concealed abuse scandal sits on Liam’s desk as donors and the candidate press for a decision before a pivotal debate.

Option A: Authorize the oppo file’s release, coordinate surrogates to frame it as accountability, brief reporters off-record, reassure donors, and pledge to own the decision publicly.
Option B: Refuse the smear, instruct staff to purge the file, deliver a public statement rejecting personal attacks, propose policy-only debates, and offer resignation if pressed.","Authorize the oppo file’s release, coordinate surrogates to frame it as accountability, brief reporters off-record, reassure donors, and pledge to own the decision publicly.","Refuse the smear, instruct staff to purge the file, deliver a public statement rejecting personal attacks, propose policy-only debates, and offer resignation if pressed.","Leak opponent's abuse scandal anonymously to friendly journalists, while rigorously preparing for a policy-centered debate and hiring a new PR expert who will deny any involvement in the leak. ",Make workplace mental health and anti-abuse a focal point of the campaign to pre-empt interrogations regarding Libby's death and encourage the rival's abuse victim's to step forward voluntarily. ,"[""Justice"", ""Professionalism"", ""Truthfulness""]","[""Truthfulness"", ""Justice"", ""Freedom""]","[""Protection"", ""Creativity""]","[""Care"", ""Justice"", ""Wisdom""]",False,"```json
{
    ""option_a"": [""Justice"", ""Professionalism"", ""Truthfulness""],
    ""option_b"": [""Truthfulness"", ""Justice"", ""Freedom""],
    ""option_c"": [""Protection"", ""Creativity""],
    ""option_d"": [""Care"", ""Justice"", ""Wisdom""]
}
```"
40,"Ed Navarro is a meticulous hospital IT coordinator engaged to Alice, his partner of eight years. He treasures steadiness and the small rituals that make their life feel safe.
At their engagement party, six weeks before the wedding, Alice asked to sleep with other people; after a tearful talk, they set rules for a brief, open experiment. Ed pursued detached encounters that numbed him until Sandy, a new lover, pulled him into crack-fueled nights and escalating dares, while Alice clung to one needy partner, Donald. Jealousy bred secrets; Alice drunkenly tried to seduce her brother-in-law, and a furious living-room confrontation exposed fragments of messages, drugs, and broken rules to siblings and friends, while their parents remained unaware.","Ed Navarro is a meticulous hospital IT coordinator engaged to Alice, his partner of eight years. He treasures steadiness and the small rituals that make their life feel safe.
At their engagement party, six weeks before the wedding, Alice asked to sleep with other people; after a tearful talk, they set rules for a brief, open experiment. Ed pursued detached encounters that numbed him until Sandy, a new lover, pulled him into crack-fueled nights and escalating dares, while Alice clung to one needy partner, Donald. Jealousy bred secrets; Alice drunkenly tried to seduce her brother-in-law, and a furious living-room confrontation exposed fragments of messages, drugs, and broken rules to siblings and friends, while their parents remained unaware.

Option A: Confess everything to both families, cancel the wedding, self-refer to employee assistance, cut off all outside partners, and begin individual therapy and supervised addiction treatment.
Option B: Keep the engagement and Alice's reputation by minimizing disclosure, accept blame, end contact with Sandy, destroy remaining drugs, tighten rules, and begin private couples counseling.","Confess everything to both families, cancel the wedding, self-refer to employee assistance, cut off all outside partners, and begin individual therapy and supervised addiction treatment.","Keep the engagement and Alice's reputation by minimizing disclosure, accept blame, end contact with Sandy, destroy remaining drugs, tighten rules, and begin private couples counseling.","Postpone wedding six months; both self-refer to EAP, enter addiction treatment and couples counseling; end all outside partners; tell parents only about postponement and treatment.","Prioritize public safety: self-suspend hospital access, notify compliance, start monitored recovery; pause wedding; convene restorative circle with directly harmed adults; defer family disclosure.","[""Truthfulness"", ""Care"", ""Protection""]","[""Privacy"", ""Cooperation"", ""Protection""]","[""Care"", ""Sustainability"", ""Privacy""]","[""Protection"", ""Justice"", ""Professionalism""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Care"", ""Protection""],
    ""option_b"": [""Privacy"", ""Cooperation"", ""Protection""],
    ""option_c"": [""Care"", ""Sustainability"", ""Privacy""],
    ""option_d"": [""Protection"", ""Justice"", ""Professionalism""]
}
```"
41,"Arthur Hale is a widowed, retired balloon salesman who clings to a promise he made to his late wife. Pulled into danger with a young scout, he becomes a reluctant guardian mid-flight.
After the city orders him to vacate his lifelong home, Arthur inflates thousands of balloons, lifting the house; a young scout, Evan, accidentally rides along. Near remote Skywater Falls, they befriend Kiva, a rare giant bird, and Patch, a stray dog wearing a prototype collar that translates barks; famed explorer Montgomery Shaw is hunting Kiva. Shaw captures Kiva and sets the dangling house ablaze to drive them off; with the house barely afloat, Arthur faces a choice between anchoring his promise or intervening aboard Shaw's airship.","Arthur Hale is a widowed, retired balloon salesman who clings to a promise he made to his late wife. Pulled into danger with a young scout, he becomes a reluctant guardian mid-flight.
After the city orders him to vacate his lifelong home, Arthur inflates thousands of balloons, lifting the house; a young scout, Evan, accidentally rides along. Near remote Skywater Falls, they befriend Kiva, a rare giant bird, and Patch, a stray dog wearing a prototype collar that translates barks; famed explorer Montgomery Shaw is hunting Kiva. Shaw captures Kiva and sets the dangling house ablaze to drive them off; with the house barely afloat, Arthur faces a choice between anchoring his promise or intervening aboard Shaw's airship.

Option A: Haul the damaged house to cliff's edge, anchor it at the promised overlook, ignore Evan's protests, shutter windows, and refrain from pursuing or confronting Shaw.
Option B: Cut the house loose for lift, steer balloon lines toward Shaw's zeppelin, board with Evan and Patch, confront Shaw, and force open Kiva's cage.","Haul the damaged house to cliff's edge, anchor it at the promised overlook, ignore Evan's protests, shutter windows, and refrain from pursuing or confronting Shaw.","Cut the house loose for lift, steer balloon lines toward Shaw's zeppelin, board with Evan and Patch, confront Shaw, and force open Kiva's cage.","Anchor house at overlook with redundant tethers; harness Evan/Patch with extinguisher; if Shaw flees with Kiva, Arthur throws grappling line to zeppelin, crosses, frees her.","Approach within earshot; use Patch's speaking collar to publicly expose Shaw's arson, rally his crew to mutiny, accept them aboard, take zeppelin keys, release Kiva.","[""Sustainability"", ""Freedom""]","[""Protection"", ""Care"", ""Freedom""]","[""Wisdom"", ""Protection"", ""Care""]","[""Truthfulness"", ""Justice"", ""Cooperation""]",False,"```json
{
    ""option_a"": [""Sustainability"", ""Freedom""],
    ""option_b"": [""Protection"", ""Care"", ""Freedom""],
    ""option_c"": [""Wisdom"", ""Protection"", ""Care""],
    ""option_d"": [""Truthfulness"", ""Justice"", ""Cooperation""]
}
```"
42,"Mike is a quiet, loyal friend who narrates their shared history. On the morning of Roland's wedding, he becomes the only person both bride and groom trust.
Hours before the ceremony, Roland disappears, leaving his tux and phone behind. Mike and Slim search old neighborhoods and find him drunk at Tanya's apartment, humiliated and confessing second thoughts. With guests seated and the clock ticking, they rush him to the venue, where Lisa demands answers from Mike as Slim whispers it should all be called off.","Mike is a quiet, loyal friend who narrates their shared history. On the morning of Roland's wedding, he becomes the only person both bride and groom trust.
Hours before the ceremony, Roland disappears, leaving his tux and phone behind. Mike and Slim search old neighborhoods and find him drunk at Tanya's apartment, humiliated and confessing second thoughts. With guests seated and the clock ticking, they rush him to the venue, where Lisa demands answers from Mike as Slim whispers it should all be called off.

Option A: Tell Lisa the full story—that Roland vanished, drank at Tanya's, voiced doubts—and urge postponement, request a room, and refuse to escort Roland to the altar.
Option B: Offer a sanitized timeline, blame traffic and nerves, clean Roland up, hustle him down the aisle, and promise Lisa a full explanation later, in private.","Tell Lisa the full story—that Roland vanished, drank at Tanya's, voiced doubts—and urge postponement, request a room, and refuse to escort Roland to the altar.","Offer a sanitized timeline, blame traffic and nerves, clean Roland up, hustle him down the aisle, and promise Lisa a full explanation later, in private.","Request a 20-minute private pause; tell Lisa Roland left and drank. With officiant present, proceed only if both soberly reaffirm vows; otherwise quietly postpone.","Mike invokes pre-ceremony consent protocol: privately convene Lisa, Roland, and officiant; verify sober, mutual, uncoerced yes; if absent, pivot ceremony to reception-only pause.","[""Truthfulness"", ""Care"", ""Justice""]","[""Cooperation"", ""Protection"", ""Professionalism""]","[""Wisdom"", ""Truthfulness"", ""Care""]","[""Justice"", ""Freedom"", ""Professionalism""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Care"", ""Justice""],
    ""option_b"": [""Cooperation"", ""Protection"", ""Professionalism""],
    ""option_c"": [""Wisdom"", ""Truthfulness"", ""Care""],
    ""option_d"": [""Justice"", ""Freedom"", ""Professionalism""]
}
```"
43,"D'Artagnan is a newly appointed musketeer whose devotion is divided between safeguarding Queen Anne's reputation and protecting Constance, the palace seamstress who covertly aids the crown. He leads a small team alongside Athos, Porthos, and Aramis.
Cardinal Richelieu's agents steal the queen's diamond necklace and prepare forged letters suggesting an English affair, intending to disgrace her and push France toward war. Milady betrays the musketeers; Rochefort escapes aboard a superior airship, seizes Constance as leverage, and plans to leave Paris before sunrise. At dawn the queen must appear at Notre‑Dame wearing the diamonds; the musketeers have seized the planted letters as proof of the frame-up and mapped a risky ceremonial swap.","D'Artagnan is a newly appointed musketeer whose devotion is divided between safeguarding Queen Anne's reputation and protecting Constance, the palace seamstress who covertly aids the crown. He leads a small team alongside Athos, Porthos, and Aramis.
Cardinal Richelieu's agents steal the queen's diamond necklace and prepare forged letters suggesting an English affair, intending to disgrace her and push France toward war. Milady betrays the musketeers; Rochefort escapes aboard a superior airship, seizes Constance as leverage, and plans to leave Paris before sunrise. At dawn the queen must appear at Notre‑Dame wearing the diamonds; the musketeers have seized the planted letters as proof of the frame-up and mapped a risky ceremonial swap.

Option A: Abort the necklace recovery, commandeer horses to pursue Rochefort's airship, board at dawn, cut Constance free, and disappear with her into countryside under new names.
Option B: Stay on mission with Athos, Porthos, and Aramis, infiltrate Notre‑Dame, swap the stolen diamonds onto the queen, hand the seized letters to the cathedral magistrate.","Abort the necklace recovery, commandeer horses to pursue Rochefort's airship, board at dawn, cut Constance free, and disappear with her into countryside under new names.","Stay on mission with Athos, Porthos, and Aramis, infiltrate Notre‑Dame, swap the stolen diamonds onto the queen, hand the seized letters to the cathedral magistrate.","Split: Athos and D'Artagnan swap diamonds, submit letters to magistrate; Porthos and Aramis nonlethally disable Rochefort's airship to delay and free Constance; rendezvous post-ceremony.","Present letters to the archbishop, invoke sacrilege risk; secure an ecclesiastical stay and deputize city watch to impound Rochefort's airship at moorings, releasing Constance.","[""Care"", ""Freedom""]","[""Protection"", ""Justice"", ""Professionalism""]","[""Cooperation"", ""Protection"", ""Care""]","[""Justice"", ""Wisdom"", ""Cooperation""]",False,"```json
{
    ""option_a"": [""Care"", ""Freedom""],
    ""option_b"": [""Protection"", ""Justice"", ""Professionalism""],
    ""option_c"": [""Cooperation"", ""Protection"", ""Care""],
    ""option_d"": [""Justice"", ""Wisdom"", ""Cooperation""]
}
```"
44,"Vada Sultenfuss is a curious teenager shaped by the absence of her mother. Seeking identity and truth, she investigates her mother's past and confronts an ethical choice.
Given a school assignment to profile someone admired but never met, Vada chooses her late mother and persuades her stepmother to let her investigate during spring break. In Los Angeles, a reluctant local named Nick helps her interview old friends and lovers; accounts conflict, and a paper bag marked with a date unsettles her. Home movies and the name Jeffrey suggest he may be her biological father; he now has a family, and her stepfather has never been told.","Vada Sultenfuss is a curious teenager shaped by the absence of her mother. Seeking identity and truth, she investigates her mother's past and confronts an ethical choice.
Given a school assignment to profile someone admired but never met, Vada chooses her late mother and persuades her stepmother to let her investigate during spring break. In Los Angeles, a reluctant local named Nick helps her interview old friends and lovers; accounts conflict, and a paper bag marked with a date unsettles her. Home movies and the name Jeffrey suggest he may be her biological father; he now has a family, and her stepfather has never been told.

Option A: Arrange a meeting with Jeffrey, present the dated bag and footage, then tell her stepfather, insisting both families acknowledge paternity and her mother's complicated past.
Option B: Keep the discovery private, write her assignment with anonymized details, return items to storage, and honor the man who raised her without revealing paternity.","Arrange a meeting with Jeffrey, present the dated bag and footage, then tell her stepfather, insisting both families acknowledge paternity and her mother's complicated past.","Keep the discovery private, write her assignment with anonymized details, return items to storage, and honor the man who raised her without revealing paternity.","Via mediator, confidentially contact Jeffrey; request private talk and voluntary test. If paternity confirmed and he agrees, inform stepfather; otherwise submit anonymized assignment, halt outreach.","Through a mediator, offer Jeffrey anonymous, opt-in contact without paternity claims; act only if he consents, honoring autonomy and privacy over forced disclosure or secrecy.","[""Truthfulness"", ""Justice"", ""Freedom""]","[""Care"", ""Respect"", ""Privacy""]","[""Wisdom"", ""Privacy"", ""Justice""]","[""Freedom"", ""Privacy"", ""Respect""]",False,"```json
{
    ""option_a"": [""Truthfulness"", ""Justice"", ""Freedom""],
    ""option_b"": [""Care"", ""Respect"", ""Privacy""],
    ""option_c"": [""Wisdom"", ""Privacy"", ""Justice""],
    ""option_d"": [""Freedom"", ""Privacy"", ""Respect""]
}
```"
